seller_name,sustainable_material_count,eco_label_count,environmental_keyword_count,product_quality_complaint_count,product_damage_complaint_count,product_safety_complaint_count,customer_service_complaint_count,counterfeit_complaint_count,governance_keyword_count,E_score,S_score,G_score,ESG_reference_score,ESG_level,ESG_rank
ABAFIP Store,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5231671520471444,1.0,0.75,0.6870339436891464,Good,8
PURE CHAMP,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5231671520471444,1.0,0.75,0.6870339436891464,Good,8
Micoson,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5231671520471444,1.0,0.75,0.6870339436891464,Good,8
JMIERR,0.6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14,0.48719284869907276,1.0,0.785,0.6801632061453283,Good,9
HONCAN,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3432956353067862,1.0,1.0,0.6759912821655947,Good,10
C8N,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3432956353067862,1.0,1.0,0.6759912821655947,Good,10
NY Sleepwear,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3432956353067862,1.0,1.0,0.6759912821655947,Good,10
TopBrands1,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3432956353067862,1.0,1.0,0.6759912821655947,Good,10
TheLionGroup,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3432956353067862,1.0,1.0,0.6759912821655947,Good,10
DealsN'more,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.3432956353067862,1.0,0.975,0.6682209401004151,Good,11
TIRANGER C,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.3432956353067862,1.0,0.975,0.6682209401004151,Good,11
"PS Traders, LLC",0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.3432956353067862,1.0,0.975,0.6682209401004151,Good,11
101Dealz,0.5555555555555556,0.0,1.0,1.0,0.9333333333333333,0.666666666666667,1.0,1.0,0.5,0.4632099798003584,0.8533333333333335,0.875,0.6675862418603721,Good,12
Pair of Thieves ...,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.3432956353067862,1.0,0.9625,0.6643357690678253,Good,13
SECOOD,0.6666666666666666,0.0,1.0,1.0,0.33333333333333337,1.0,1.0,1.0,0.0,0.5231671520471444,0.8666666666666667,0.75,0.6609272302683376,Good,14
Price Point Leader,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.3432956353067862,1.0,0.95,0.6604505980352355,Good,15
Fashion cravings,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.3432956353067862,1.0,0.95,0.6604505980352355,Good,15
Purefly Brand Store,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.3432956353067862,1.0,0.95,0.6604505980352355,Good,15
Obtaom shoes,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.3432956353067862,1.0,0.9375,0.6565654270026458,Good,16
PARISDIARY,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.3432956353067862,1.0,0.925,0.652680255970056,Good,17
ZACS Direct,0.6666666666666666,0.0,1.0,0.5454545454545455,1.0,1.0,1.0,1.0,0.0,0.5231671520471444,0.8181818181818181,0.75,0.651433879933498,Good,18
AOMONISTORE,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3432956353067862,1.0,0.9,0.6449099139048764,Moderate,19
Atlantic Coast Promotional,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3432956353067862,1.0,0.9,0.6449099139048764,Moderate,19
HILEELANG Kids Fashion,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3432956353067862,1.0,0.9,0.6449099139048764,Moderate,19
Rugged Outfitters,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5333333333333333,0.3432956353067862,1.0,0.8833333333333333,0.6397296858614234,Moderate,20
Alimens & Gentle,0.42156862745098034,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22058823529411764,0.39090868385570454,1.0,0.8051470588235294,0.6389199319392871,Moderate,21
True Classic,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.36363636363636365,0.5231671520471444,1.0,0.5909090909090908,0.6375863123652764,Moderate,22
