level,n,lambda_max,CI,RI,CR,consistent
ESG Dimensions,3,3.0536215758789726,0.026810787939486325,0.58,0.04622549644739022,True
Environmental Indicators,3,3.009202712714283,0.004601356357141428,0.58,0.007933373029554188,True
Social Indicators,3,2.999999999999999,-4.440892098500626e-16,0.58,-7.656710514656253e-16,True
Governance Indicators,3,2.999999999999999,-4.440892098500626e-16,0.58,-7.656710514656253e-16,True
