feature,importance_mean,importance_std,indicator,dimension,dimension_code,global_weight,importance_normalized,importance_rank
sustainable_material_count,0.13057526238155834,0.004913312722612948,Sustainable Material Adoption,Environmental,E,0.40715928407159274,0.6739119579681783,1
product_safety_complaint_count,0.02007450769861951,0.0012610010214552062,Product Safety Responsibility,Social,S,0.17918208179182077,0.10360653726960935,2
eco_label_count,0.014190570081759696,3.407002807033688e-05,Eco Label Adoption,Environmental,E,0.1674832516748325,0.07323894812892197,3
product_quality_complaint_count,0.013698460304694439,0.0004090422225166308,Product Quality Responsibility,Social,S,0.07369263073692629,0.07069912046670952,4
governance_keyword_count,0.008155537712827444,0.00025650699222942415,Transparency & Responsibility,Governance,G,0.019298070192980698,0.04209154389653441,5
counterfeit_complaint_count,0.004663273875004611,0.00012918170068388507,Business Integrity,Governance,G,0.046895310468953094,0.024067621770983,6
product_damage_complaint_count,0.0020961029485010987,0.00016222786203597846,Product Durability,Social,S,0.030096990300969895,0.010818196466643688,7
customer_service_complaint_count,0.0003034380459855497,1.6486760694588315e-05,Customer Relationship Management,Governance,G,0.0078992100789921,0.0015660740324197956,8
environmental_keyword_count,0.0,0.0,Environmental Commitment,Environmental,E,0.0682931706829317,0.0,9
