model,train_MAE,test_MAE,train_MSE,test_MSE,train_RMSE,test_RMSE,train_R2,test_R2,CV_MAE_mean,CV_MAE_std,CV_MSE_mean,CV_MSE_std,CV_RMSE_mean,CV_RMSE_std,CV_R2_mean,CV_R2_std
Linear Regression,6.992270010860361e-17,7.331661483373675e-17,9.362982498867177e-33,1.3023647020158214e-32,9.676250564587079e-17,1.1412119443888684e-16,1.0,1.0,1.2929103038949348e-16,1.1602256584046576e-16,6.928170989551662e-31,1.3657486993692017e-30,4.477544773259308e-16,7.016644689520403e-16,1.0,0.0
Stacking Regressor,0.00015988175298270324,5.9673141340226865e-05,3.883693447523042e-06,1.928326294717572e-08,0.001970708869296285,0.00013886418885794753,0.9995722868958563,0.9999978143529468,0.0004011933900881372,0.0007339827901467549,3.5660563595882814e-05,7.129994807656944e-05,0.0027471407653108498,0.005302243035871718,0.9951727607425159,0.00965223699075974
Ridge Regression,1.087882364440584e-05,1.5080470501997551e-05,4.480227068562631e-10,1.3820078233086812e-09,2.1166546880780133e-05,3.71753658127083e-05,0.9999999506590349,0.9999998433573543,0.0004232666324921154,0.0008243193801417355,4.397086632217699e-05,8.794081791689682e-05,0.0029802106187889143,0.005923614689514738,0.9940475259913576,0.01190484641263339
Voting Regressor,0.0007549261807748223,0.0015631302429545712,4.524727022838405e-06,1.4495199212280062e-05,0.002127140574301192,0.003807256126435423,0.999501689547208,0.9983570524588867,0.0014300326560785814,0.0008736451087893425,5.542159055554809e-05,9.818215551797666e-05,0.0050687636490046265,0.005452451341009602,0.9926367943050204,0.013357581620212645
XGBoost Regressor,0.007398188359611819,0.015482098969350374,0.0004492460740285423,0.0014373694073280595,0.021195425780779736,0.03791265497598473,0.95052430490629,0.8370824368222193,0.010518893633098745,0.003018457020171961,0.0006803833113747738,0.00042796443338253464,0.024797607078090395,0.008090858704452523,0.9216988481225604,0.05225860300270019
