eco_label,frequency,source
organic cotton,50,Fast Fashion Eco Label Dataset
recycled polyester,17,Fast Fashion Eco Label Dataset
lyocell,8,Fast Fashion Eco Label Dataset
join life viscose,7,Fast Fashion Eco Label Dataset
water saving production,5,Fast Fashion Eco Label Dataset
european linen,3,Fast Fashion Eco Label Dataset
recycled cotton,3,Fast Fashion Eco Label Dataset
ecovero viscose,2,Fast Fashion Eco Label Dataset
recycled polyamide,2,Fast Fashion Eco Label Dataset
