seller_name,environmental_keyword_count,sustainable_material_count,eco_label_count,product_quality_complaint_count,product_damage_complaint_count,product_safety_complaint_count,customer_service_complaint_count,counterfeit_complaint_count,governance_keyword_count
FREDD MARSHALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Famous Brands Outlet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Fashion cravings,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
FashionShop26,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.3333333333333333
Feethit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Feixun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Fensace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Flag Giant Ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5520361990950227
FlastDecor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Floerns,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.4666666666666667
Fullfamous,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4
Funwear,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
G-GRADUAL,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75
GEEK LIGHTING,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GIISAM,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0
GlobeCarry,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0
Greenfive,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Greggs Shoreline Deals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GruntStyle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Guardy LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAWISH Shoes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HILEELANG Kids Fashion,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
HOEREV®,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
HOMEPAL,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HONCAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOVSIYLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HUA RONG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Hey Dude Official,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Heymiss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Highest Quality Products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Hoth Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I-Max Fashions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INNERSY STORE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
J.Ver Offical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
JDGifts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMIERR,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.86
JUNBAOSS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
JomeDesign,0.0,0.2647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,1.0
JosFaith,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
KDF BOUTIQUE,0.0,2.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0
KENWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4807692307692308
KIDMI,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0
KISAHAPPARELS,0.0,0.007547169811320755,0.0,0.022641509433962263,0.026415094339622643,0.03773584905660377,0.0,0.0,0.33584905660377357
KUNMI,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Kayla Grecia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kinglaman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kingsted,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
KuaiLu-XYL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LION-go,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3
LIUJISHOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LY Berditchev Co.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
LanRuiery,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.36363636363636365
Larnmern Work,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Lepunuo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Liberty Brands US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Light Speed Shipping,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Lion Nardo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Lomonshop,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75
MAELREG,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.85
MAGCOMSEN,0.0,0.75,0.0,0.0,0.025,0.0,0.025,0.0,0.8
